tweet,class
ما دام ورد ذكر حرف الدال ببدل بدي فانو الجوع في أقصى مراحله,neg
حمدا لله على سلامة أبنائنا المجندين المحررين ونهنئ أهلهم وأحبائهم بعودتهم ونهنئ الشعب المصري بإطلاق سراحهم,pos
إحباط,neg
بالفيديو البابا تواضروس عن ماسبيرو حادث مثل أي حادث والحقوق القانونية لن تضيع المصري اليوم,neu
في ناس واقفة بشوم عند الشوارع المؤدية للتحرير بتوقف الناس بشكل عشوائي وقفوا العربية ال قدامى واتجمهروا عليها بدون داع,neg
تصبحوا على خير,neu
لم يتبقى شيئا بعد,neu
بعض الأصدقاء الذين أحترمهم رفضوا فكرتي بفظاظة لازلت مقتنعا بها مهمتنا أن نقضي على الأمية وأن نقضي أيضا على استغلالها لحساب أي فصيل,neu
لما الموب بتاعي يبوظ فقط الأيام غير سيباندا غير سيباندا في حالنا,neu
يوم عظيم على شعب عظيم بإذن الله حشود المصريين وهتافاتهم وسلمتهم تحرك الصخر النصر قادم وما النصر إلا من عند الله,pos
من تونس سوريا في القلب,pos
يصبحوا أصدقائنا بالصدفة وما أسوأ الأصدقاء حينما يصبحوا غرباء,neg
ما شيكا قبل هكذا أول ما جه من اليونان راح الأهلي مستبعدا الصراحة إنه يكون مضى ومن قبل لا عيبه كثير مضت للأهلي,neu
غضب ربنا هينزل على أبراج السعودين قريب أسيوط ومحدش يسألني لماذا الحق أمشي أنا بقي,neu
هل الاستفتاء في ظل إشراف قضائي منقوص وانفلات أمني واضح وما نراه من عنف وانتهاكات هو طريق الاستقرار أم عبث بأقدار البلاد الحكم مسؤولية,neg
مشكلتنا أن نحن عاملين نفسنا فاهمين الدين صح ومش عارفين أننا لو حاولنا حتى نفهم غير هيكون هذا حالنا ربي أصلح شأن الأمة,neg
اللهم أجرني في مصيبتي وأخلف لي خيرا منها,neg
عم متولي تحب تقول ماذا في السنة الجديدة حسبي الله ونعم الوكيل,neg
استمرار الحراك الطلابي ب جامعة null null,neg
من كثر التحطم الذي يسري بدم الكويتي حتى إذا شاف سيارة مكتوب عليها ما شاء الله لازم يقول يدعوه عندك فراري عاد,neg
الفرنسي مبتفرجش غير على باريس سانجيرمان من أجل لويز وأبرأ وفقط,neu
يسعد مساكم سعيد,pos
شاهد منتج فيلم مبارك والعائلة حسين الرزاز في آخر كلام,pos
التي رافضين السيسي رئيس بيعملوا فولوا لبعض مرسي رئيسي انتخبوا العرص سيناء خارج التغطية سأنتخب السيسي,neu
جيل الوسط هو الذي شغلته أسئلة ومشكلات عصره باحثين عن الحقيقة,pos
الإرهاب خسة وانحطاط تحيا مصر,neu
الدنيا غير أبيض يا أسود دنيا كل الألوان حط لوني على لونك نوصل أبعد مكان كل حلم وله بداية فقط شرط تكون معي كاريوكي,neu
أنا قررت معملش فلو لأي حدف ثانوية عامة لأنهم مقدوني بصراحة حاسس أن كلهم هيسقطو السنة ديه,neg
من ظن أن الرزق يأتي بقوة ما أكل العصفور شيئا مع النسر تزول عن الدنيا فإنك لاتدرىاذا جن عليك الليل هل تعيش إلى الفجر الإمام الشافعي,pos
البرادعي قال مصالحة يبقى خاين السيسي قالها يبقى لا للمصالحة فقط هو بطل مغوار تويت كأنك معرص,neu
مينا فخر العرب يريدون مينا على تويتر يامينا وكل ما ليا حياة قلبي ونور عيني فينك يا مينو وحشتنا آوى,pos
