tweet,class
"' """"""@AloulSohaila ما دام  ورد ذكر حرف الدال ببدل بدي ،، فانو الجوع في اقصى مراحله"""""""" '",neg
حمداً لله على سلامة أبنائنا المجندين المحررين، و نهنئ أهلهم و أحبائهم بعودتهم و نهنئ الشعب المصري بإطلاق سراحهم,pos
' احباااااااط ',neg
' بالفيديو.. البابا تواضروس عن «ماسبيرو»: «حادث مثل أي حادث.. والحقوق القانونية لن تضيع»   المصري اليوم http://t.co/KchuZacgp9 via ',neu
في ناس واقفة بشوم عند الشوارع المؤدية للتحرير بتوقف الناس بشكل عشوائي وقفوا العربية ال قدامي واتجمهروا عليها بدون داع …,neg
' تصبحو علي خير ',neu
' لم يتبقى شيئاً بعد !!!! ',neu
بعض الأصدقاء الذين أحترمهم رفضوا فكرتي بفظاظة لازلت مقتنعا بها مهمتنا ان نقضى على الأمية وان نقضى أيضاً على استغلالها لحساب اى فصيل,neu
#لما الموب بتاعي يبوظ #بس الايام مش سيباناااااا مش سيباناااا في حالنا :) :) 2,neu
يوم عظيم على شعب عظيم باذن الله حشود المصريين وهتافاتهم وسلميتهم تحرك الصخر النصر قادم وما النصر الا من عند الله,pos
من تونس #سوريا_فى_القلب,pos
' يصبحوا اصدقائنا بالصدفة وما اسوا الاصدقاء حينما يصبحوا غرباء ',neg
' @AhmedEssamEldi2 @GahadNader  ما شيكا قبل كده اول ما جه من اليونان راح الاهلي مستبعدش الصراحه انه يكون مضي ومن قبل لاعيبه كتير مضت للاهلي ',neu
غضب ربنا هينزل علي ابراج السعودين قريب #اسيوط ومحدش يسالني ليه الحق امشي انا بقي,neu
هل الإستفتاء في ظل إشراف قضائي منقوص وانفلات أمني واضح وما نراه من عنف وانتهاكات هو طريق الاستقرار أم عبث بأقدار البلاد؟ الحكم مسؤولية,neg
' مشكلتنا ان احنا عاملين نفسنا فاهمين الدين صح  و مش عارفين اننا لو حاولنا حتي نفهم مش هيكون دا حالنا #ربي_اصلح_شان_الامة ',neg
' اللهم أجرني في مصيبتي وأخلف لي خيرا منها ',neg
"' ""\"""" عم متولي تحب تقول ايه في السنة الجديدة؟ حسبي الله و نعم الوكيل\"""" '",neg
إستمرار الحراك الطلابي بـ #جامعة_المنصورة #مفيش_عساكر_يحكمونا,neg
"من كثر التحلطم اللي يسري بدم الكويتي حتى إذا شاف سيارة مكتوب عليها "" ما شاء الله"" #لازم يقول : شدعوه عندك فراري عاد",neg
"' """"""الفرنسي مبتفرجش غير علي باريس سانجيرمان، عشان لويز وإبرا وبس :D"""""""" '",neu
' يسعد مساكم ^_^ ',pos
شاهد - منتج فيلم مبارك و العائلة حسين الرزاز في آخر كلام #,pos
#اللى_رافضين_السيسى_رئيس_بيعملوا_فولوا_لبعض #مرسي_رئيسي #انتخبوا_العرص #سيناء_خارج_التغطية #سأنتخب_السيسى …,neu
جيل الوسط هو الذي شغلته أسئلة ومشكلات عصره باحثين عن الحقيقة,pos
#الارهاب خسة وانحطاط تحيا مصر,neu
